Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
12,Skye,initiator,Competitive,All,Diamond 2,0.95, 14.5  /  15.3  /  7.6 ,48.5%,3.2%,201,0.1%,"26,494"
13,Omen,controller,Competitive,All,Diamond 2,0.98, 15  /  15.3  /  7.5 ,48.3%,6.6%,206,0.1%,"55,107"
14,Breach,initiator,Competitive,All,Diamond 2,0.94, 14.5  /  15.4  /  7.1 ,48.1%,3.9%,201,0.1%,"32,661"
15,Astra,controller,Competitive,All,Diamond 2,1.03, 15.3  /  14.8  /  6.7 ,48.0%,2.5%,207,0.2%,"20,984"
16,Chamber,sentinel,Competitive,All,Diamond 2,1.08, 16.3  /  15.2  /  2.9 ,47.5%,2.9%,219,0.1%,"23,883"
17,Neon,duelist,Competitive,All,Diamond 2,0.98, 16.3  /  16.6  /  4.3 ,47.4%,1.5%,228,0.1%,"12,116"
18,Yoru,duelist,Competitive,All,Diamond 2,1.01, 15.9  /  15.8  /  4.3 ,46.3%,1.1%,218,0.1%,"8,890"
19,KAY/O,initiator,Competitive,All,Diamond 2,0.92, 14.4  /  15.7  /  9.1 ,44.7%,3.6%,205,0.1%,"30,044"
20,Harbor,controller,Competitive,All,Diamond 2,0.91, 14.1  /  15.5  /  6.1 ,44.1%,0.8%,194,0.1%,"6,725"
1,Sage,sentinel,Competitive,Split,Diamond 2,0.96, 14.4  /  14.9  /  7.6 ,51.3%,12.9%,200,0.1%,"15,550"
2,Raze,duelist,Competitive,Split,Diamond 2,1.06, 17.1  /  16.2  /  5.1 ,50.6%,11.8%,247,0.1%,"14,188"
3,Phoenix,duelist,Competitive,Split,Diamond 2,1.1, 17.1  /  15.6  /  4.8 ,50.6%,2.5%,239,0.1%,"3,060"
4,Brimstone,controller,Competitive,Split,Diamond 2,0.98, 14.8  /  15.1  /  9.1 ,50.2%,4.9%,209,0.1%,"5,850"
5,Skye,initiator,Competitive,Split,Diamond 2,0.96, 14.7  /  15.3  /  7.7 ,49.7%,4.9%,201,0.1%,"5,876"
6,Omen,controller,Competitive,Split,Diamond 2,0.99, 15.2  /  15.3  /  7.5 ,49.6%,9.3%,208,0.1%,"11,196"
7,Killjoy,sentinel,Competitive,Split,Diamond 2,1.03, 15  /  14.5  /  3.9 ,49.1%,5.9%,208,0.2%,"7,124"
8,Reyna,duelist,Competitive,Split,Diamond 2,1.12, 17.7  /  15.8  /  4.5 ,48.9%,10.1%,245,0.1%,"12,112"
9,Cypher,sentinel,Competitive,Split,Diamond 2,1.02, 15  /  14.7  /  4.8 ,48.5%,6.2%,204,0.2%,"7,424"
10,Sova,initiator,Competitive,Split,Diamond 2,1.0, 14.9  /  14.9  /  5.5 ,48.3%,2.0%,209,0.1%,"2,418"
11,Jett,duelist,Competitive,Split,Diamond 2,1.07, 17.3  /  16.2  /  3.8 ,48.0%,9.8%,240,0.1%,"11,823"
12,Breach,initiator,Competitive,Split,Diamond 2,0.95, 14.6  /  15.4  /  7.2 ,47.7%,3.3%,202,0.1%,"3,966"
13,Viper,controller,Competitive,Split,Diamond 2,1.0, 14.7  /  14.7  /  5.6 ,47.3%,1.7%,207,0.1%,"2,028"
14,Yoru,duelist,Competitive,Split,Diamond 2,1.02, 16  /  15.7  /  4.5 ,47.1%,1.0%,220,0.1%,"1,207"
15,Fade,initiator,Competitive,Split,Diamond 2,0.96, 14.6  /  15.3  /  6.2 ,47.0%,3.8%,203,0.1%,"4,617"
16,Astra,controller,Competitive,Split,Diamond 2,1.04, 15.5  /  14.9  /  6.6 ,46.3%,3.3%,211,0.1%,"3,914"
17,KAY/O,initiator,Competitive,Split,Diamond 2,0.92, 14.4  /  15.7  /  8.9 ,45.5%,3.6%,205,0.1%,"4,337"
18,Chamber,sentinel,Competitive,Split,Diamond 2,1.04, 16  /  15.3  /  3 ,45.5%,1.9%,217,0.1%,"2,233"
19,Neon,duelist,Competitive,Split,Diamond 2,0.96, 15.9  /  16.5  /  4.3 ,44.7%,0.8%,221,0.1%,"1,007"
20,Harbor,controller,Competitive,Split,Diamond 2,0.9, 14.2  /  15.7  /  5.6 ,35.9%,0.4%,196,0.1%,454
1,Phoenix,duelist,Competitive,Ascent,Diamond 2,1.1, 17.3  /  15.7  /  4.9 ,51.6%,3.7%,241,0.1%,"4,504"
2,Brimstone,controller,Competitive,Ascent,Diamond 2,0.98, 14.7  /  15  /  9.9 ,51.3%,5.9%,207,0.1%,"7,129"
3,Viper,controller,Competitive,Ascent,Diamond 2,0.97, 14.7  /  15.1  /  5.9 ,51.2%,0.6%,202,0.1%,776
4,Sage,sentinel,Competitive,Ascent,Diamond 2,0.95, 14.2  /  15  /  7.2 ,50.3%,6.2%,195,0.1%,"7,430"
5,Sova,initiator,Competitive,Ascent,Diamond 2,1.03, 15  /  14.6  /  6.1 ,50.2%,10.5%,209,0.2%,"12,655"
6,Killjoy,sentinel,Competitive,Ascent,Diamond 2,1.0, 14.5  /  14.5  /  3.9 ,49.8%,10.0%,201,0.2%,"12,080"
7,Raze,duelist,Competitive,Ascent,Diamond 2,1.03, 16.6  /  16.2  /  5.2 ,49.8%,5.8%,238,0.1%,"6,985"
8,Reyna,duelist,Competitive,Ascent,Diamond 2,1.11, 17.6  /  15.9  /  4.5 ,49.5%,11.2%,241,0.1%,"13,444"
9,Cypher,sentinel,Competitive,Ascent,Diamond 2,1.01, 14.8  /  14.6  /  5 ,49.5%,3.9%,199,0.2%,"4,669"
10,Astra,controller,Competitive,Ascent,Diamond 2,1.03, 15.4  /  14.9  /  7.7 ,49.1%,2.5%,209,0.1%,"3,028"
11,Fade,initiator,Competitive,Ascent,Diamond 2,0.97, 14.7  /  15.2  /  6.7 ,49.0%,3.6%,203,0.1%,"4,343"
12,Neon,duelist,Competitive,Ascent,Diamond 2,0.96, 16  /  16.6  /  4.2 ,48.7%,0.8%,222,0.1%,916
13,Omen,controller,Competitive,Ascent,Diamond 2,0.98, 14.9  /  15.2  /  8.5 ,48.5%,10.2%,204,0.1%,"12,219"
14,Jett,duelist,Competitive,Ascent,Diamond 2,1.07, 17.3  /  16.1  /  3.7 ,48.5%,13.7%,237,0.1%,"16,439"
15,Skye,initiator,Competitive,Ascent,Diamond 2,0.95, 14.7  /  15.6  /  7.6 ,48.0%,2.3%,202,0.1%,"2,727"
16,Breach,initiator,Competitive,Ascent,Diamond 2,0.93, 14.3  /  15.3  /  7.3 ,47.9%,1.3%,200,0.1%,"1,615"
17,Chamber,sentinel,Competitive,Ascent,Diamond 2,1.06, 16.4  /  15.4  /  3 ,45.4%,2.2%,220,0.1%,"2,690"
18,KAY/O,initiator,Competitive,Ascent,Diamond 2,0.92, 14.4  /  15.7  /  9.2 ,44.1%,4.3%,203,0.1%,"5,223"
19,Yoru,duelist,Competitive,Ascent,Diamond 2,1.0, 15.7  /  15.7  /  4.3 ,43.9%,0.9%,217,0.1%,"1,088"
20,Harbor,controller,Competitive,Ascent,Diamond 2,0.92, 14.3  /  15.5  /  6.3 ,42.9%,0.3%,199,0.1%,317
1,Sage,sentinel,Competitive,Haven,Diamond 2,0.95, 14.3  /  15.1  /  7.3 ,51.1%,7.9%,196,0.1%,"9,459"
2,Killjoy,sentinel,Competitive,Haven,Diamond 2,1.01, 14.7  /  14.5  /  3.7 ,50.8%,6.0%,202,0.2%,"7,253"
3,Brimstone,controller,Competitive,Haven,Diamond 2,0.97, 14.6  /  15.1  /  9.1 ,50.5%,5.4%,206,0.1%,"6,478"
4,Sova,initiator,Competitive,Haven,Diamond 2,1.01, 14.9  /  14.9  /  5.9 ,50.1%,8.0%,207,0.1%,"9,609"
5,Phoenix,duelist,Competitive,Haven,Diamond 2,1.1, 17.4  /  15.8  /  4.8 ,49.7%,4.6%,241,0.1%,"5,554"
6,Yoru,duelist,Competitive,Haven,Diamond 2,1.04, 16.3  /  15.7  /  4.5 ,49.7%,1.0%,224,0.1%,"1,194"
7,Viper,controller,Competitive,Haven,Diamond 2,1.01, 15.2  /  15.1  /  5.8 ,49.6%,0.4%,208,0.1%,536
8,Raze,duelist,Competitive,Haven,Diamond 2,1.05, 16.7  /  16  /  4.8 ,49.2%,5.7%,240,0.1%,"6,917"
9,Jett,duelist,Competitive,Haven,Diamond 2,1.07, 17.3  /  16.1  /  3.7 ,48.9%,13.1%,238,0.1%,"15,712"
10,Reyna,duelist,Competitive,Haven,Diamond 2,1.12, 17.8  /  15.9  /  4.5 ,48.8%,11.5%,245,0.1%,"13,892"
11,Fade,initiator,Competitive,Haven,Diamond 2,0.96, 14.5  /  15.2  /  6.8 ,48.5%,4.4%,200,0.1%,"5,293"
12,Omen,controller,Competitive,Haven,Diamond 2,0.98, 14.9  /  15.2  /  7.7 ,48.4%,11.0%,205,0.1%,"13,275"
13,Cypher,sentinel,Competitive,Haven,Diamond 2,1.02, 15.1  /  14.8  /  4.8 ,48.0%,5.4%,203,0.1%,"6,496"
14,Chamber,sentinel,Competitive,Haven,Diamond 2,1.07, 16.1  /  15.1  /  2.8 ,47.9%,2.8%,216,0.1%,"3,314"
15,Breach,initiator,Competitive,Haven,Diamond 2,0.96, 15  /  15.7  /  7.2 ,46.6%,2.8%,205,0.1%,"3,391"
16,Skye,initiator,Competitive,Haven,Diamond 2,0.94, 14.5  /  15.4  /  7.4 ,46.4%,3.8%,202,0.1%,"4,577"
17,Astra,controller,Competitive,Haven,Diamond 2,1.01, 15.1  /  14.9  /  6.9 ,45.3%,2.2%,204,0.2%,"2,647"
18,Neon,duelist,Competitive,Haven,Diamond 2,0.95, 16  /  16.9  /  4.2 ,43.7%,1.1%,222,0.1%,"1,272"
19,KAY/O,initiator,Competitive,Haven,Diamond 2,0.92, 14.3  /  15.5  /  9.2 ,43.6%,2.7%,205,0.1%,"3,234"
20,Harbor,controller,Competitive,Haven,Diamond 2,0.97, 15.2  /  15.6  /  6.3 ,43.3%,0.2%,204,0.1%,277
1,Neon,duelist,Competitive,Icebox,Diamond 2,0.98, 16.3  /  16.7  /  4.2 ,52.5%,1.1%,225,0.1%,"1,311"
2,Astra,controller,Competitive,Icebox,Diamond 2,1.06, 15.4  /  14.5  /  5.2 ,52.0%,0.4%,210,0.2%,477
3,Skye,initiator,Competitive,Icebox,Diamond 2,0.94, 14.5  /  15.4  /  7.4 ,51.1%,1.9%,201,0.1%,"2,294"
4,Killjoy,sentinel,Competitive,Icebox,Diamond 2,1.02, 14.8  /  14.5  /  3.6 ,50.7%,5.5%,204,0.2%,"6,499"
5,Reyna,duelist,Competitive,Icebox,Diamond 2,1.13, 18.1  /  16  /  4.2 ,50.5%,12.5%,249,0.1%,"14,832"
6,Jett,duelist,Competitive,Icebox,Diamond 2,1.08, 17.7  /  16.3  /  3.8 ,50.2%,13.9%,246,0.1%,"16,577"
7,Sova,initiator,Competitive,Icebox,Diamond 2,0.99, 14.8  /  14.9  /  5.4 ,49.6%,11.6%,204,0.2%,"13,774"
8,Sage,sentinel,Competitive,Icebox,Diamond 2,0.93, 13.9  /  15  /  7.1 ,49.5%,12.2%,192,0.1%,"14,543"
9,Viper,controller,Competitive,Icebox,Diamond 2,1.01, 15.1  /  14.9  /  5.7 ,49.3%,13.3%,208,0.2%,"15,795"
10,Raze,duelist,Competitive,Icebox,Diamond 2,1.02, 16.6  /  16.3  /  4.7 ,48.8%,6.9%,237,0.1%,"8,146"
11,Brimstone,controller,Competitive,Icebox,Diamond 2,0.97, 14.7  /  15.2  /  7.3 ,48.7%,1.5%,206,0.1%,"1,838"
12,Fade,initiator,Competitive,Icebox,Diamond 2,0.95, 14.6  /  15.3  /  6.3 ,48.3%,2.7%,201,0.1%,"3,182"
13,Phoenix,duelist,Competitive,Icebox,Diamond 2,1.07, 16.8  /  15.7  /  4.2 ,48.2%,2.1%,235,0.1%,"2,439"
14,Breach,initiator,Competitive,Icebox,Diamond 2,0.92, 14.3  /  15.6  /  6.4 ,47.9%,0.7%,201,0.1%,840
15,Cypher,sentinel,Competitive,Icebox,Diamond 2,0.98, 14.6  /  14.9  /  4.3 ,47.9%,1.7%,197,0.2%,"1,977"
16,Chamber,sentinel,Competitive,Icebox,Diamond 2,1.07, 16.4  /  15.3  /  2.9 ,47.1%,3.2%,219,0.1%,"3,773"
17,Omen,controller,Competitive,Icebox,Diamond 2,0.97, 15.1  /  15.6  /  6 ,46.4%,3.5%,208,0.1%,"4,138"
18,Yoru,duelist,Competitive,Icebox,Diamond 2,0.99, 15.7  /  15.8  /  4 ,45.6%,1.1%,217,0.1%,"1,260"
19,KAY/O,initiator,Competitive,Icebox,Diamond 2,0.93, 14.5  /  15.6  /  9 ,44.6%,3.8%,207,0.1%,"4,458"
20,Harbor,controller,Competitive,Icebox,Diamond 2,0.92, 14.2  /  15.4  /  5.9 ,42.1%,0.6%,196,0.1%,710
1,Sage,sentinel,Competitive,Fracture,Diamond 2,0.94, 13.7  /  14.6  /  7 ,52.1%,6.5%,191,0.2%,"7,728"
2,Phoenix,duelist,Competitive,Fracture,Diamond 2,1.12, 17.1  /  15.2  /  4.6 ,51.3%,2.6%,239,0.1%,"3,144"
3,Killjoy,sentinel,Competitive,Fracture,Diamond 2,1.02, 14.6  /  14.3  /  4 ,50.7%,7.2%,203,0.2%,"8,556"
4,Brimstone,controller,Competitive,Fracture,Diamond 2,0.99, 14.6  /  14.7  /  8.8 ,50.6%,11.0%,207,0.2%,"13,107"
5,Raze,duelist,Competitive,Fracture,Diamond 2,1.06, 16.7  /  15.8  /  4.8 ,50.0%,7.5%,238,0.1%,"8,930"
6,Reyna,duelist,Competitive,Fracture,Diamond 2,1.15, 17.8  /  15.5  /  4.5 ,49.9%,10.7%,246,0.1%,"12,795"
7,Jett,duelist,Competitive,Fracture,Diamond 2,1.09, 17.2  /  15.8  /  3.7 ,49.6%,11.4%,239,0.1%,"13,538"
8,Skye,initiator,Competitive,Fracture,Diamond 2,0.95, 14.4  /  15.2  /  7 ,49.4%,2.2%,200,0.1%,"2,623"
9,Fade,initiator,Competitive,Fracture,Diamond 2,0.96, 14.5  /  15.1  /  6.3 ,48.7%,4.7%,200,0.1%,"5,613"
10,Cypher,sentinel,Competitive,Fracture,Diamond 2,1.01, 14.8  /  14.7  /  4.9 ,48.6%,5.6%,202,0.1%,"6,679"
11,Chamber,sentinel,Competitive,Fracture,Diamond 2,1.07, 16.2  /  15.1  /  2.9 ,48.3%,2.9%,219,0.1%,"3,411"
12,Breach,initiator,Competitive,Fracture,Diamond 2,0.94, 14.4  /  15.3  /  7 ,48.1%,10.9%,200,0.1%,"13,011"
13,Viper,controller,Competitive,Fracture,Diamond 2,0.98, 14.6  /  14.9  /  5.8 ,47.8%,4.2%,203,0.2%,"5,016"
14,Neon,duelist,Competitive,Fracture,Diamond 2,1.01, 16.6  /  16.4  /  4.3 ,47.7%,3.1%,232,0.1%,"3,654"
15,Sova,initiator,Competitive,Fracture,Diamond 2,0.96, 14.4  /  15  /  5.2 ,46.6%,1.2%,202,0.1%,"1,401"
16,Yoru,duelist,Competitive,Fracture,Diamond 2,1.01, 15.7  /  15.6  /  4.4 ,46.0%,1.0%,217,0.1%,"1,185"
17,Omen,controller,Competitive,Fracture,Diamond 2,0.97, 14.9  /  15.4  /  6.9 ,45.7%,2.3%,204,0.1%,"2,755"
18,KAY/O,initiator,Competitive,Fracture,Diamond 2,0.92, 14.4  /  15.6  /  9.2 ,45.2%,3.3%,204,0.1%,"3,908"
19,Astra,controller,Competitive,Fracture,Diamond 2,1.0, 14.8  /  14.8  /  6.6 ,45.2%,1.2%,204,0.1%,"1,397"
20,Harbor,controller,Competitive,Fracture,Diamond 2,0.89, 13.9  /  15.6  /  6.3 ,42.4%,0.6%,191,0.1%,705
1,Brimstone,controller,Competitive,Pearl,Diamond 2,0.96, 14.3  /  14.9  /  8.5 ,50.9%,3.7%,203,0.1%,"4,343"
2,Sage,sentinel,Competitive,Pearl,Diamond 2,0.92, 13.8  /  14.9  /  7.3 ,50.8%,8.1%,191,0.1%,"9,585"
3,Viper,controller,Competitive,Pearl,Diamond 2,1.0, 14.7  /  14.8  /  6.1 ,50.8%,7.3%,204,0.2%,"8,600"
4,Phoenix,duelist,Competitive,Pearl,Diamond 2,1.11, 17.4  /  15.6  /  5 ,50.4%,5.1%,245,0.1%,"6,039"
5,Reyna,duelist,Competitive,Pearl,Diamond 2,1.15, 18  /  15.7  /  4.5 ,50.1%,11.9%,249,0.1%,"14,045"
6,Fade,initiator,Competitive,Pearl,Diamond 2,0.96, 14.5  /  15.2  /  6.6 ,49.6%,9.9%,202,0.1%,"11,742"
7,Killjoy,sentinel,Competitive,Pearl,Diamond 2,1.02, 14.7  /  14.3  /  4 ,49.4%,4.5%,204,0.2%,"5,335"
8,Astra,controller,Competitive,Pearl,Diamond 2,1.04, 15.2  /  14.6  /  6.7 ,49.3%,5.1%,206,0.2%,"6,032"
9,Jett,duelist,Competitive,Pearl,Diamond 2,1.08, 17.3  /  16  /  3.8 ,49.3%,11.8%,238,0.1%,"13,938"
10,Sova,initiator,Competitive,Pearl,Diamond 2,1.0, 15  /  14.9  /  5.8 ,49.1%,2.3%,206,0.1%,"2,776"
11,Cypher,sentinel,Competitive,Pearl,Diamond 2,1.01, 14.7  /  14.6  /  4.8 ,48.8%,6.5%,200,0.2%,"7,711"
12,Raze,duelist,Competitive,Pearl,Diamond 2,1.04, 16.8  /  16.1  /  5 ,48.3%,5.3%,240,0.1%,"6,315"
13,Chamber,sentinel,Competitive,Pearl,Diamond 2,1.08, 16.2  /  15  /  3 ,47.8%,3.4%,219,0.1%,"4,017"
14,Skye,initiator,Competitive,Pearl,Diamond 2,0.94, 14.6  /  15.5  /  7.8 ,47.8%,3.0%,202,0.1%,"3,601"
15,Yoru,duelist,Competitive,Pearl,Diamond 2,1.02, 16.3  /  16  /  4.5 ,47.7%,1.2%,222,0.1%,"1,479"
16,Neon,duelist,Competitive,Pearl,Diamond 2,0.99, 16.2  /  16.4  /  4.3 ,47.7%,1.7%,229,0.1%,"1,970"
17,Omen,controller,Competitive,Pearl,Diamond 2,0.96, 14.7  /  15.3  /  6.9 ,46.4%,2.4%,205,0.1%,"2,878"
18,Harbor,controller,Competitive,Pearl,Diamond 2,0.89, 13.8  /  15.6  /  6.4 ,45.0%,1.4%,191,0.1%,"1,697"
19,KAY/O,initiator,Competitive,Pearl,Diamond 2,0.92, 14.4  /  15.7  /  9 ,44.9%,4.0%,205,0.1%,"4,681"
20,Breach,initiator,Competitive,Pearl,Diamond 2,0.94, 14.5  /  15.5  /  6.7 ,44.0%,1.4%,202,0.1%,"1,631"
1,Raze,duelist,Competitive,Lotus,Diamond 2,1.07, 17  /  15.9  /  4.9 ,50.8%,8.2%,244,0.1%,"9,565"
2,Brimstone,controller,Competitive,Lotus,Diamond 2,0.98, 14.7  /  15  /  8.4 ,50.7%,4.6%,207,0.2%,"5,386"
3,Sage,sentinel,Competitive,Lotus,Diamond 2,0.94, 14  /  14.9  /  7 ,50.5%,6.5%,195,0.1%,"7,661"
4,Killjoy,sentinel,Competitive,Lotus,Diamond 2,1.02, 14.6  /  14.2  /  3.7 ,50.5%,6.8%,202,0.2%,"7,935"
5,Phoenix,duelist,Competitive,Lotus,Diamond 2,1.11, 17.2  /  15.5  /  4.5 ,50.3%,3.4%,238,0.1%,"3,989"
6,Breach,initiator,Competitive,Lotus,Diamond 2,0.94, 14.6  /  15.5  /  7.2 ,49.9%,7.0%,201,0.1%,"8,207"
7,Sova,initiator,Competitive,Lotus,Diamond 2,0.98, 14.7  /  14.9  /  5.5 ,49.8%,2.2%,206,0.1%,"2,597"
8,Astra,controller,Competitive,Lotus,Diamond 2,1.04, 15.3  /  14.7  /  6.2 ,49.6%,3.0%,207,0.2%,"3,489"
9,Reyna,duelist,Competitive,Lotus,Diamond 2,1.14, 17.9  /  15.8  /  4.4 ,49.5%,12.1%,246,0.1%,"14,177"
10,Jett,duelist,Competitive,Lotus,Diamond 2,1.08, 17.3  /  16  /  3.7 ,49.4%,11.3%,238,0.1%,"13,197"
11,Fade,initiator,Competitive,Lotus,Diamond 2,0.96, 14.5  /  15.1  /  6.2 ,49.1%,4.8%,200,0.1%,"5,604"
12,Chamber,sentinel,Competitive,Lotus,Diamond 2,1.11, 16.8  /  15.1  /  2.9 ,48.8%,3.8%,224,0.1%,"4,445"
13,Viper,controller,Competitive,Lotus,Diamond 2,1.0, 14.9  /  14.9  /  5.6 ,48.7%,1.5%,207,0.2%,"1,775"
14,Omen,controller,Competitive,Lotus,Diamond 2,0.98, 14.9  /  15.2  /  6.8 ,48.2%,7.4%,204,0.1%,"8,646"
15,Cypher,sentinel,Competitive,Lotus,Diamond 2,1.0, 14.7  /  14.7  /  4.5 ,48.2%,4.6%,200,0.2%,"5,344"
16,Skye,initiator,Competitive,Lotus,Diamond 2,0.94, 14.4  /  15.2  /  7.6 ,48.1%,4.1%,199,0.1%,"4,796"
17,Neon,duelist,Competitive,Lotus,Diamond 2,0.98, 16.5  /  16.8  /  4.4 ,46.3%,1.7%,229,0.1%,"1,986"
18,Harbor,controller,Competitive,Lotus,Diamond 2,0.92, 14.1  /  15.4  /  5.9 ,46.2%,2.2%,193,0.1%,"2,565"
19,KAY/O,initiator,Competitive,Lotus,Diamond 2,0.93, 14.6  /  15.7  /  9.3 ,44.7%,3.6%,205,0.1%,"4,203"
20,Yoru,duelist,Competitive,Lotus,Diamond 2,0.97, 15.6  /  16.1  /  4.2 ,44.2%,1.3%,211,0.1%,"1,477"
1,Brimstone,controller,Competitive,All,Diamond 3,0.98, 14.7  /  15  /  9.1 ,50.7%,5.2%,207,0.1%,"36,320"
2,Sage,sentinel,Competitive,All,Diamond 3,0.95, 14.2  /  15  /  7.2 ,50.7%,8.0%,196,0.1%,"56,092"
3,Reyna,duelist,Competitive,All,Diamond 3,1.13, 17.8  /  15.8  /  4.4 ,50.2%,11.1%,245,0.1%,"77,564"
4,Killjoy,sentinel,Competitive,All,Diamond 3,1.03, 14.8  /  14.4  /  3.8 ,50.2%,6.8%,204,0.2%,"47,454"
5,Phoenix,duelist,Competitive,All,Diamond 3,1.1, 17.2  /  15.7  /  4.8 ,49.9%,3.2%,240,0.1%,"22,487"
6,Skye,initiator,Competitive,All,Diamond 3,0.95, 14.7  /  15.4  /  7.6 ,49.8%,3.0%,202,0.1%,"21,213"
7,Astra,controller,Competitive,All,Diamond 3,1.04, 15.3  /  14.7  /  6.8 ,49.8%,2.8%,208,0.2%,"19,253"
8,Sova,initiator,Competitive,All,Diamond 3,1.0, 14.8  /  14.8  /  5.8 ,49.8%,5.5%,206,0.2%,"38,811"
9,Raze,duelist,Competitive,All,Diamond 3,1.05, 16.9  /  16.1  /  4.9 ,49.8%,7.5%,241,0.1%,"52,289"
10,Fade,initiator,Competitive,All,Diamond 3,0.97, 14.7  /  15.1  /  6.5 ,49.7%,4.9%,202,0.1%,"33,968"
11,Viper,controller,Competitive,All,Diamond 3,1.01, 15  /  14.9  /  5.8 ,49.4%,4.2%,207,0.1%,"29,550"
12,Breach,initiator,Competitive,All,Diamond 3,0.94, 14.5  /  15.4  /  7.2 ,48.9%,4.0%,199,0.1%,"28,207"
13,Omen,controller,Competitive,All,Diamond 3,0.98, 15  /  15.3  /  7.7 ,48.9%,6.6%,206,0.1%,"45,973"
14,Jett,duelist,Competitive,All,Diamond 3,1.07, 17.4  /  16.2  /  3.8 ,48.8%,12.6%,239,0.1%,"88,485"
15,Chamber,sentinel,Competitive,All,Diamond 3,1.09, 16.5  /  15.2  /  2.9 ,48.8%,2.8%,220,0.1%,"19,617"
16,Cypher,sentinel,Competitive,All,Diamond 3,1.0, 14.8  /  14.8  /  4.7 ,48.6%,4.9%,200,0.1%,"34,436"
17,Neon,duelist,Competitive,All,Diamond 3,0.97, 16.2  /  16.6  /  4.3 ,46.6%,1.4%,226,0.1%,"10,025"
18,Yoru,duelist,Competitive,All,Diamond 3,1.0, 15.8  /  15.8  /  4.4 ,46.4%,1.0%,218,0.1%,"7,012"
19,KAY/O,initiator,Competitive,All,Diamond 3,0.93, 14.5  /  15.7  /  9.2 ,45.8%,3.6%,205,0.1%,"25,234"
20,Harbor,controller,Competitive,All,Diamond 3,0.91, 14.2  /  15.5  /  6.1 ,45.2%,0.8%,194,0.1%,"5,604"
1,Killjoy,sentinel,Competitive,Split,Diamond 3,1.03, 14.9  /  14.4  /  3.8 ,51.3%,5.9%,206,0.2%,"5,923"
2,Raze,duelist,Competitive,Split,Diamond 3,1.05, 17  /  16.2  /  5.1 ,51.2%,12.2%,245,0.1%,"12,238"
3,Brimstone,controller,Competitive,Split,Diamond 3,0.99, 15  /  15.1  /  9.4 ,51.0%,4.7%,212,0.1%,"4,766"
4,Skye,initiator,Competitive,Split,Diamond 3,0.97, 14.7  /  15.2  /  7.7 ,50.6%,4.9%,203,0.1%,"4,943"
5,Phoenix,duelist,Competitive,Split,Diamond 3,1.09, 17.1  /  15.7  /  4.8 ,50.5%,2.3%,238,0.1%,"2,356"
6,Sage,sentinel,Competitive,Split,Diamond 3,0.96, 14.5  /  15  /  7.5 ,49.9%,12.9%,201,0.1%,"12,899"
7,Chamber,sentinel,Competitive,Split,Diamond 3,1.09, 16.6  /  15.3  /  3 ,49.7%,1.8%,223,0.1%,"1,758"
8,Reyna,duelist,Competitive,Split,Diamond 3,1.13, 17.7  /  15.7  /  4.4 ,49.5%,9.8%,245,0.1%,"9,819"
9,Fade,initiator,Competitive,Split,Diamond 3,0.98, 14.8  /  15.1  /  6.3 ,49.5%,3.8%,203,0.1%,"3,854"
10,Astra,controller,Competitive,Split,Diamond 3,1.06, 15.6  /  14.7  /  6.9 ,49.4%,3.5%,212,0.2%,"3,533"
11,Omen,controller,Competitive,Split,Diamond 3,1.0, 15.1  /  15.2  /  7.6 ,49.0%,9.4%,208,0.1%,"9,439"
12,Cypher,sentinel,Competitive,Split,Diamond 3,1.02, 15  /  14.7  /  4.7 ,48.7%,6.2%,203,0.2%,"6,235"
13,Yoru,duelist,Competitive,Split,Diamond 3,1.01, 15.9  /  15.7  /  4.4 ,47.9%,0.9%,218,0.1%,913
14,Jett,duelist,Competitive,Split,Diamond 3,1.06, 17.4  /  16.4  /  3.8 ,47.5%,10.1%,239,0.1%,"10,148"
15,Neon,duelist,Competitive,Split,Diamond 3,0.96, 15.8  /  16.5  /  4.4 ,47.2%,0.9%,223,0.1%,877
16,Breach,initiator,Competitive,Split,Diamond 3,0.95, 14.4  /  15.2  /  7.2 ,47.0%,3.5%,200,0.1%,"3,530"
17,Sova,initiator,Competitive,Split,Diamond 3,0.99, 15  /  15.1  /  5.5 ,46.9%,1.7%,209,0.1%,"1,685"
18,Viper,controller,Competitive,Split,Diamond 3,1.03, 15.3  /  14.9  /  5.8 ,46.7%,1.5%,211,0.1%,"1,530"
19,KAY/O,initiator,Competitive,Split,Diamond 3,0.92, 14.5  /  15.7  /  9.1 ,45.0%,3.6%,204,0.1%,"3,571"
20,Harbor,controller,Competitive,Split,Diamond 3,0.92, 14.6  /  15.8  /  6.3 ,40.2%,0.4%,196,0.2%,358
1,Sage,sentinel,Competitive,Ascent,Diamond 3,0.96, 14.3  /  14.9  /  7.2 ,51.8%,5.5%,197,0.1%,"5,571"
2,Reyna,duelist,Competitive,Ascent,Diamond 3,1.11, 17.6  /  15.9  /  4.5 ,50.6%,11.0%,241,0.1%,"11,191"
3,Phoenix,duelist,Competitive,Ascent,Diamond 3,1.09, 17.4  /  15.9  /  4.9 ,50.3%,3.5%,241,0.1%,"3,543"
4,Sova,initiator,Competitive,Ascent,Diamond 3,1.01, 14.9  /  14.7  /  6.3 ,50.1%,10.9%,207,0.2%,"11,076"
5,Jett,duelist,Competitive,Ascent,Diamond 3,1.07, 17.3  /  16.2  /  3.8 ,49.5%,14.4%,237,0.1%,"14,610"
